요일,통학방식,출발시간,도착시간,지각여부,소요시간,위도,경도
목,도보,8H 44M 0S,8H 50M 0S,정상 등교,6M 0S,37.2166984,126.9496199
수,도보,8H 44M 0S,8H 50M 0S,정상 등교,6M 0S,37.2166984,126.9496199
금,도보,8H 42M 0S,8H 50M 0S,정상 등교,8M 0S,37.2166984,126.9496199
화,도보,8H 42M 0S,8H 50M 0S,지각,8M 0S,37.2166984,126.9496199
화,자가용(부모님),7H 50M 0S,8H 0M 0S,정상 등교,1H -50M 0S,37.2160467,126.9607212
수,자가용(부모님),7H 50M 0S,8H 0M 0S,정상 등교,1H -50M 0S,37.2160467,126.9607212
목,자가용(부모님),8H 20M 0S,8H 33M 0S,정상 등교,13M 0S,37.2160467,126.9607212
금,도보,8H 19M 0S,8H 33M 0S,정상 등교,14M 0S,37.2160467,126.9607212
금,도보,8H 25M 0S,8H 35M 0S,정상 등교,10M 0S,37.2160467,126.9607212
화,도보,8H 23M 0S,8H 38M 0S,정상 등교,15M 0S,37.2160467,126.9607212
수,도보,8H 30M 0S,8H 40M 0S,정상 등교,10M 0S,37.2160467,126.9607212
수,도보,8H 24M 0S,8H 40M 0S,정상 등교,16M 0S,37.2160467,126.9607212
수,도보,8H 20M 0S,8H 45M 0S,정상 등교,25M 0S,37.2160467,126.9607212
수,도보,8H 30M 0S,8H 46M 0S,정상 등교,16M 0S,37.2160467,126.9607212
월,도보,8H 30M 0S,8H 48M 0S,정상 등교,18M 0S,37.2160467,126.9607212
화,도보,8H 30M 0S,8H 49M 0S,정상 등교,19M 0S,37.2160467,126.9607212
목,자가용(부모님),8H 30M 0S,8H 51M 0S,지각,21M 0S,37.2160467,126.9607212
목,도보,7H 50M 0S,8H 0M 0S,정상 등교,1H -50M 0S,37.217105,126.9478425
금,도보,7H 50M 0S,8H 0M 0S,정상 등교,1H -50M 0S,37.217105,126.9478425
금,도보,8H 30M 0S,8H 40M 0S,정상 등교,10M 0S,37.217105,126.9478425
금,도보,8H 30M 0S,8H 40M 0S,정상 등교,10M 0S,37.217105,126.9478425
금,도보,8H 25M 0S,8H 40M 0S,정상 등교,15M 0S,37.217105,126.9478425
수,도보,8H 30M 0S,8H 43M 0S,정상 등교,13M 0S,37.217105,126.9478425
목,도보,8H 35M 0S,8H 45M 0S,정상 등교,10M 0S,37.217105,126.9478425
수,도보,8H 35M 0S,8H 45M 0S,정상 등교,10M 0S,37.217105,126.9478425
